iter	Passed	Remaining
652	66245	35202
653	66340	35097
654	66414	34981
655	66478	34860
656	66569	34753
657	66653	34643
658	66730	34529
659	66814	34419
660	66868	34294
661	66964	34190
662	67134	34124
663	67420	34116
664	67565	34036
665	67680	33941
666	67805	33852
667	67961	33777
668	68066	33676
669	68184	33583
670	68333	33505
671	68447	33408
672	68544	33304
673	68630	33195
674	68761	33107
675	68890	33018
676	68971	32906
677	69056	32796
678	69176	32703
679	69271	32598
680	69357	32488
681	69447	32381
682	69549	32280
683	69672	32187
684	69768	32083
685	69872	31982
686	69963	31875
687	70070	31776
688	70153	31665
689	70315	31591
690	70450	31503
691	70539	31396
692	70644	31295
693	70777	31207
694	70890	31110
695	71007	31014
696	71154	30932
697	71268	30835
698	71396	30744
699	71519	30651
700	71627	30551
701	71740	30453
702	71817	30341
703	71944	30249
704	72105	30171
705	72247	30085
706	72391	30000
707	72498	29900
708	72586	29792
709	72703	29695
710	72835	29605
711	72975	29518
712	73251	29485
713	73399	29400
714	73530	29309
715	73669	29220
716	73767	29115
717	73881	29017
718	74109	28963
719	74258	28878
720	74378	28781
721	74480	28678
722	74587	28576
723	74707	28479
724	74779	28364
725	74904	28269
726	75021	28171
727	75125	28068
728	75260	27977
729	75391	27884
730	75551	27802
731	75667	27703
732	75761	27596
733	75860	27491
734	75950	27383
735	76047	27278
736	76138	27170
737	76228	27062
738	76316	26953
739	76413	26847
740	76492	26736
741	76561	26621
742	76655	26514
743	76745	26407
744	76830	26297
745	76917	26189
746	76991	26076
747	77084	25969
748	77154	25855
749	77225	25741
750	77303	25630
751	77396	25524
752	77488	25417
753	77593	25315
754	77691	25211
755	77788	25106
756	77873	24997
757	77952	24887
758	78035	24778
759	78125	24671
760	78231	24569
761	78321	24462
762	78386	24348
763	78472	24240
764	78573	24136
765	78679	24035
766	78809	23940
767	78917	23839
768	79005	23732
769	79103	23628
770	79209	23526
771	79275	23413
772	79366	23306
773	79513	23216
774	79634	23119
775	79730	23015
776	79835	22912
777	79894	22797
778	79974	22688
779	80043	22576
780	80108	22463
781	80185	22353
782	80262	22243
783	80361	22140
784	80454	22035
785	80546	21929
786	80657	21829
787	80745	21723
788	80845	21620
789	80939	21515
790	81049	21415
791	81127	21306
792	81233	21204
793	81307	21094
794	81392	20988
795	81486	20883
796	81561	20774
797	81657	20670
798	81753	20566
799	81865	20466
800	81959	20362
801	82077	20263
802	82222	20171
803	82316	20067
804	82395	19959
805	82475	19851
806	82550	19742
807	82645	19638
808	82723	19530
809	82809	19424
810	82902	19320
811	82981	19212
812	83060	19105
813	83133	18996
814	83223	18891
815	83322	18788
816	83479	18698
817	83592	18598
818	83688	18495
819	83772	18389
820	83841	18279
821	83921	18172
822	84012	18068
823	84253	17995
824	84328	17887
825	84386	17776
826	84508	17678
827	84562	17566
828	84664	17463
829	84751	17358
830	84882	17262
831	84990	17161
832	85094	17059
833	85224	16963
834	85337	16863
835	85431	16759
836	85531	16656
837	85618	16551
838	85710	16447
839	85788	16340
840	85872	16235
841	85982	16134
842	86108	16036
843	86223	15937
844	86338	15837
845	86445	15735
846	86517	15628
847	86634	15528
848	86713	15422
849	86816	15320
850	86897	15214
851	86977	15108
852	87036	14999
853	87128	14895
854	87239	14795
855	87355	14695
856	87459	14593
857	87549	14489
858	87644	14386
859	87718	14279
860	87801	14174
861	87872	14067
862	87957	13963
863	88031	13856
864	88102	13750
865	88176	13643
866	88261	13539
867	88331	13432
868	88417	13328
869	88517	13226
870	88613	13124
871	88696	13019
872	88784	12915
873	88884	12813
874	88958	12708
875	89022	12601
876	89090	12495
877	89180	12391
878	89255	12286
879	89346	12183
880	89414	12077
881	89501	11974
882	89610	11873
883	89721	11773
884	89810	11670
885	89900	11567
886	90011	11467
887	90107	11364
888	90175	11259
889	90246	11154
890	90325	11049
891	90387	10943
892	90473	10840
893	90539	10735
894	90623	10631
895	90698	10527
896	90766	10422
897	90838	10317
898	90908	10213
899	90980	10108
900	91056	10005
901	91160	9904
902	91313	9808
903	91449	9711
904	91552	9610
905	91642	9508
906	91716	9404
907	91808	9302
908	91918	9201
909	92029	9101
910	92110	8998
911	92222	8898
912	92343	8799
913	92572	8710
914	92787	8619
915	92929	8521
916	93052	8422
917	93138	8319
918	93225	8216
919	93340	8116
920	93518	8021
921	93641	7921
922	93764	7822
923	93905	7723
924	94068	7627
925	94236	7530
926	94369	7431
927	94494	7331
928	94588	7229
929	94666	7125
930	94772	7023
931	94879	6922
932	94974	6820
933	95063	6717
934	95145	6614
935	95262	6513
936	95378	6412
937	95459	6309
938	95554	6207
939	95629	6104
940	95702	6000
941	95800	5898
942	95937	5798
943	96045	5697
944	96144	5595
945	96237	5493
946	96333	5391
947	96422	5289
948	96535	5187
949	96673	5088
950	96768	4985
951	96841	4882
952	96946	4781
953	97044	4679
954	97145	4577
955	97227	4474
956	97319	4372
957	97388	4269
958	97470	4167
959	97591	4066
960	97677	3964
961	97815	3863
962	98009	3765
963	98127	3664
964	98246	3563
965	98369	3462
966	98471	3360
967	98552	3257
968	98639	3155
969	98723	3053
970	98820	2951
971	98936	2850
972	99011	2747
973	99086	2645
974	99192	2543
975	99319	2442
976	99423	2340
977	99536	2239
978	99665	2137
979	99870	2038
980	100028	1937
981	100124	1835
982	100228	1733
983	100370	1632
984	100479	1530
985	100616	1428
986	100706	1326
987	100788	1224
988	100915	1122
989	101013	1020
990	101088	918
991	101170	815
992	101267	713
993	101339	611
994	101444	509
995	101559	407
996	101676	305
997	101827	204
998	101956	102
999	102108	0
